split,target,fold,subject_id,balance_rate,history_rows,future_rows,history_pos_rate,target_future_mean,before_mean,after_mean,candidate
oof,Q2,4,id08,0.3,45,11,0.7777777777777778,0.02,0.6375942342685043,0.019999999999999997,allq_rate_0p3
oof,Q2,4,id09,0.3,33,8,0.3333333333333333,0.16249999999999987,0.46335260546727774,0.16249999999999987,allq_rate_0p3
oof,Q2,4,id10,0.3,27,6,0.5925925925925926,0.02,0.5263507353464852,0.020000000000000004,allq_rate_0p3
test,Q2,-1,id01,0.3,41,27,0.5609756097560976,0.02,0.6166441085173674,0.01999999999999999,allq_rate_0p3
test,Q2,-1,id02,0.3,48,32,0.6666666666666666,0.02,0.6603306153548796,0.019999999999999997,allq_rate_0p3
test,Q2,-1,id03,0.3,33,21,0.8181818181818182,0.02,0.7654884268816984,0.020000000000000007,allq_rate_0p3
test,Q2,-1,id04,0.3,57,27,0.49122807017543857,0.02,0.5413525193995941,0.02,allq_rate_0p3
test,Q2,-1,id05,0.3,44,21,0.4318181818181818,0.023809523809523808,0.4592684975981666,0.023809523809523808,allq_rate_0p3
test,Q2,-1,id06,0.3,48,24,0.3958333333333333,0.10833333333333324,0.5339794519635476,0.10833333333333324,allq_rate_0p3
test,Q2,-1,id07,0.3,49,30,0.5102040816326531,0.02,0.5076479607655933,0.02,allq_rate_0p3
test,Q2,-1,id08,0.3,56,19,0.7857142857142857,0.02,0.70465375246772,0.020000000000000004,allq_rate_0p3
test,Q2,-1,id09,0.3,41,27,0.43902439024390244,0.08888888888888884,0.5535361271689245,0.08888888888888882,allq_rate_0p3
test,Q2,-1,id10,0.3,33,22,0.5454545454545454,0.02,0.5444717850950228,0.020000000000000004,allq_rate_0p3
oof,Q3,0,id01,0.3,32,9,0.59375,0.02,0.6187304651663573,0.02,allq_rate_0p3
oof,Q3,0,id02,0.3,38,10,0.7631578947368421,0.02,0.612703116552721,0.02000000000000001,allq_rate_0p3
oof,Q3,0,id03,0.3,26,7,0.7692307692307693,0.02,0.6233530823435546,0.020000000000000007,allq_rate_0p3
oof,Q3,0,id04,0.3,45,12,0.7777777777777778,0.02,0.6279361587876564,0.02000000000000001,allq_rate_0p3
oof,Q3,0,id05,0.3,35,9,0.6857142857142857,0.02,0.6211653328740578,0.020000000000000004,allq_rate_0p3
oof,Q3,0,id06,0.3,38,10,0.6052631578947368,0.02,0.6140037287150826,0.01999999999999999,allq_rate_0p3
oof,Q3,0,id07,0.3,39,10,0.5128205128205128,0.02,0.6003917686849178,0.019999999999999983,allq_rate_0p3
oof,Q3,0,id08,0.3,44,12,0.45454545454545453,0.02,0.6173070410050405,0.019999999999999997,allq_rate_0p3
oof,Q3,0,id09,0.3,32,9,0.4375,0.02,0.5991716070194474,0.019999999999999997,allq_rate_0p3
oof,Q3,0,id10,0.3,26,7,0.5384615384615384,0.02,0.605643045530644,0.019999999999999997,allq_rate_0p3
oof,Q3,1,id01,0.3,33,8,0.5757575757575758,0.02,0.5782704713515929,0.019999999999999983,allq_rate_0p3
oof,Q3,1,id02,0.3,38,10,0.7368421052631579,0.02,0.7165764889186742,0.019999999999999987,allq_rate_0p3
oof,Q3,1,id03,0.3,26,7,0.6923076923076923,0.02,0.5824472503811854,0.01999999999999999,allq_rate_0p3
oof,Q3,1,id04,0.3,46,11,0.782608695652174,0.02,0.5873636377244776,0.020000000000000004,allq_rate_0p3
oof,Q3,1,id05,0.3,35,9,0.6571428571428571,0.02,0.5835870262254557,0.020000000000000004,allq_rate_0p3
oof,Q3,1,id06,0.3,38,10,0.631578947368421,0.02,0.5726830331923496,0.02,allq_rate_0p3
