target,fold,model,param_profile,weight_profile,top_k,features,stop_policy,stop_iteration,weight_min,weight_max,weight_std,delta_std_val
S1,2,ridge,ridge10,recent_resid,40,40,closed_form_no_early_stopping,,0.059773209020969754,6.439600873253721,1.1443940466192672,0.7579679238184317
S1,3,ridge,ridge10,recent_resid,40,40,closed_form_no_early_stopping,,0.06693946261022275,7.498138269501782,1.1805752384767991,0.8218395287705678
S1,4,ridge,ridge10,recent_resid,40,40,closed_form_no_early_stopping,,0.07850058234342976,4.8181086780583495,0.9822364153922437,0.6899629459278833
S1,0,ridge,ridge30,uniform,40,40,closed_form_no_early_stopping,,0.3054525678365808,1.5272558947020973,0.38861402844009213,0.8339479029162886
S1,1,ridge,ridge30,uniform,40,40,closed_form_no_early_stopping,,0.3178821858511081,1.5894037021866898,0.4172445305966492,1.0774081358671024
S1,2,ridge,ridge30,uniform,40,40,closed_form_no_early_stopping,,0.3210005193234873,1.6049952986531038,0.41551789833231845,0.517430386793752
S1,3,ridge,ridge30,uniform,40,40,closed_form_no_early_stopping,,0.3111911278701845,1.5559485644036402,0.4023521793567252,0.44262974012841194
S1,4,ridge,ridge30,uniform,40,40,closed_form_no_early_stopping,,0.3090982212894733,1.5447796685392212,0.3917812161404023,0.7529951534532754
S1,0,ridge,ridge30,subject_class,40,40,closed_form_no_early_stopping,,0.10239267423513698,2.8149102228415264,0.6420768027243843,0.8405352696008002
S1,1,ridge,ridge30,subject_class,40,40,closed_form_no_early_stopping,,0.10847544034579602,2.900984173326107,0.658030827201325,1.0501591511478003
S1,2,ridge,ridge30,subject_class,40,40,closed_form_no_early_stopping,,0.10720038252877098,2.9897638941020515,0.6868977891174738,0.5320753888733377
S1,3,ridge,ridge30,subject_class,40,40,closed_form_no_early_stopping,,0.1030904786419228,3.0572041348130163,0.6787801795789384,0.5097500000810616
S1,4,ridge,ridge30,subject_class,40,40,closed_form_no_early_stopping,,0.14460693546722908,2.7580599243965778,0.6222194924493925,0.6909733488835704
S1,0,ridge,ridge30,recent_class,40,40,closed_form_no_early_stopping,,0.1450534111664883,4.039726694758747,0.7607697688582332,0.8873077026745041
S1,1,ridge,ridge30,recent_class,40,40,closed_form_no_early_stopping,,0.06514811561820062,4.314037747986095,0.8277729130721647,1.139814141564725
S1,2,ridge,ridge30,recent_class,40,40,closed_form_no_early_stopping,,0.06675728514687577,4.739624211021951,0.9132833435990586,0.6543479567884267
S1,3,ridge,ridge30,recent_class,40,40,closed_form_no_early_stopping,,0.07246392476536553,5.321032106912127,0.9105771347048713,0.5995750792677241
S1,4,ridge,ridge30,recent_class,40,40,closed_form_no_early_stopping,,0.08121953362720423,4.020149386792907,0.7856253263293838,0.6871529387819691
S1,0,ridge,ridge30,recent_resid,40,40,closed_form_no_early_stopping,,0.07343583673167768,5.467937241798939,0.9397771220536298,0.9169585509215613
S1,1,ridge,ridge30,recent_resid,40,40,closed_form_no_early_stopping,,0.054750114002857536,5.8671491028989395,1.0266541987789137,1.1840023080827213
S1,2,ridge,ridge30,recent_resid,40,40,closed_form_no_early_stopping,,0.059773209020969754,6.439600873253721,1.1443940466192672,0.6731664065641817
S1,3,ridge,ridge30,recent_resid,40,40,closed_form_no_early_stopping,,0.06693946261022275,7.498138269501782,1.1805752384767991,0.7456565037965048
S1,4,ridge,ridge30,recent_resid,40,40,closed_form_no_early_stopping,,0.07850058234342976,4.8181086780583495,0.9822364153922437,0.6502146698079728
S1,0,ridge,ridge100,uniform,40,40,closed_form_no_early_stopping,,0.3054525678365808,1.5272558947020973,0.38861402844009213,0.7035520267382903
