split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,candidate
oof,S4,3,id09,8,1.5,0.45,0.5290322580645161,0.6485148514851485,0.6003744742691639,0.6059526844982862,targetwise_lastbest
oof,S4,3,id10,7,1.5,0.45,0.5290322580645161,0.6485148514851485,0.7111180462119231,0.8577183764720563,targetwise_lastbest
oof,S4,4,id01,8,1.5,0.45,0.49056603773584906,0.6127450980392157,0.4320038698186566,0.35807516279707474,targetwise_lastbest
oof,S4,4,id02,9,1.5,0.45,0.49056603773584906,0.6127450980392157,0.6999424669520301,0.8313819933780232,targetwise_lastbest
oof,S4,4,id03,6,1.5,0.45,0.49056603773584906,0.6127450980392157,0.2676684241315243,0.16162126646859598,targetwise_lastbest
oof,S4,4,id04,11,1.5,0.45,0.49056603773584906,0.6127450980392157,0.5032388201828953,0.5700920158542487,targetwise_lastbest
oof,S4,4,id05,8,1.5,0.45,0.49056603773584906,0.6127450980392157,0.38414075934265174,0.2925031454560414,targetwise_lastbest
oof,S4,4,id06,9,1.5,0.45,0.49056603773584906,0.6127450980392157,0.7283617396020221,0.8527887445179343,targetwise_lastbest
oof,S4,4,id07,9,1.5,0.45,0.49056603773584906,0.6127450980392157,0.4193534044205294,0.4592065833066259,targetwise_lastbest
oof,S4,4,id08,11,1.5,0.45,0.49056603773584906,0.6127450980392157,0.4773153634455865,0.43839513528834567,targetwise_lastbest
oof,S4,4,id09,8,1.5,0.45,0.49056603773584906,0.6127450980392157,0.6381984326156843,0.7775378830095622,targetwise_lastbest
oof,S4,4,id10,6,1.5,0.45,0.49056603773584906,0.6127450980392157,0.664057317660797,0.8032193946974666,targetwise_lastbest
test,S4,-1,id01,27,1.5,0.45,0.5303030303030303,0.636,0.5320689353258056,0.5950237420853985,targetwise_lastbest
test,S4,-1,id02,32,1.5,0.45,0.5303030303030303,0.636,0.6977312593109464,0.8271062414936473,targetwise_lastbest
test,S4,-1,id03,21,1.5,0.45,0.5303030303030303,0.636,0.3155070500574639,0.21928774899738263,targetwise_lastbest
test,S4,-1,id04,27,1.5,0.45,0.5303030303030303,0.636,0.4966603569677647,0.537443460489125,targetwise_lastbest
test,S4,-1,id05,21,1.5,0.45,0.5303030303030303,0.636,0.4313554346264925,0.43044728860927994,targetwise_lastbest
test,S4,-1,id06,24,1.5,0.45,0.5303030303030303,0.636,0.7988558808853513,0.9187231817055773,targetwise_lastbest
test,S4,-1,id07,30,1.5,0.45,0.5303030303030303,0.636,0.47159641403538805,0.49153287800157996,targetwise_lastbest
test,S4,-1,id08,19,1.5,0.45,0.5303030303030303,0.636,0.5073136839969038,0.5578307776214737,targetwise_lastbest
test,S4,-1,id09,27,1.5,0.45,0.5303030303030303,0.636,0.6027366333267977,0.7044848499972682,targetwise_lastbest
test,S4,-1,id10,22,1.5,0.45,0.5303030303030303,0.636,0.6928669325276697,0.8201966843250319,targetwise_lastbest
