split,target,fold,subject_id,rows,drift,before_mean,after_mean
oof,Q3,3,id05,9,-0.16666666666666663,0.5821606396865591,0.5772127736179411
oof,Q3,3,id06,10,0.5646551724137931,0.7310879227372371,0.7355766549744639
oof,Q3,3,id07,10,0.125,0.6092620590372648,0.6120725748508257
oof,Q3,3,id08,11,-0.15441176470588236,0.5973967445629946,0.58924115267555
oof,Q3,3,id09,8,-0.235,0.4304544870420079,0.4243842769947085
oof,Q3,3,id10,7,-0.25,0.5490850303353014,0.540036238967997
oof,Q3,4,id01,8,0.0492424242424242,0.5522613542502245,0.5522613542502245
oof,Q3,4,id02,9,0.1314102564102564,0.7241089059002637,0.7265248464919782
oof,Q3,4,id03,6,-0.1157407407407407,0.5427020511443783,0.5376045655207445
oof,Q3,4,id04,11,0.23913043478260865,0.725132754160457,0.7331408744408762
oof,Q3,4,id05,8,0.18055555555555558,0.5513828040265395,0.5575835017552746
oof,Q3,4,id06,9,0.21474358974358976,0.7140812152728515,0.718108008317961
oof,Q3,4,id07,9,0.0,0.713681285519262,0.713681285519262
oof,Q3,4,id08,11,-0.3194444444444444,0.5880064982486454,0.5721704578246295
oof,Q3,4,id09,8,-0.08333333333333331,0.6028341258915938,0.5998445309122684
oof,Q3,4,id10,6,-0.1157407407407407,0.5392848617618042,0.5342201875062726
test,Q3,-1,id01,27,-0.0714285714285714,0.6612221282202613,0.6589603309066722
test,Q3,-1,id02,32,0.15625,0.6658810517975222,0.6699066701662728
test,Q3,-1,id03,21,0.10227272727272729,0.7304319994447717,0.7333777653301639
test,Q3,-1,id04,27,-0.08088235294117652,0.6745869224655253,0.6720741572746447
test,Q3,-1,id05,21,-0.06730769230769229,0.6890976737696745,0.6863945023820303
test,Q3,-1,id06,24,0.5416666666666667,0.7198060371046114,0.7270161939744773
test,Q3,-1,id07,30,0.23484848484848486,0.5980655768047657,0.6039176368027402
test,Q3,-1,id08,19,-0.28125,0.5087463143780706,0.5017487508239389
test,Q3,-1,id09,27,-0.23214285714285715,0.6377858709963576,0.630590385148276
test,Q3,-1,id10,22,-0.10227272727272729,0.5265648696025749,0.5226395921176322
