source,target,full_logloss,last_logloss,mean_pred,mean_y,fold,fold_logloss,fold_mean_pred,fold_mean_y
submitted_public_best,S2,,,,,4.0,0.5684210565200837,0.6302533016740037,0.5647058823529412
submitted_public_best,S3,0.5294421568160732,0.577938298805045,0.6447828946406089,0.6622222222222223,,,,
submitted_public_best,S3,,,,,0.0,0.5041729096195547,0.6397586560547841,0.7157894736842105
submitted_public_best,S3,,,,,1.0,0.5282676873897062,0.647462023974986,0.6813186813186813
submitted_public_best,S3,,,,,2.0,0.5570493133066392,0.653391822496297,0.6136363636363636
submitted_public_best,S3,,,,,3.0,0.4850009849615262,0.6377835892401356,0.6593406593406593
submitted_public_best,S3,,,,,4.0,0.577938298805045,0.6461105774214035,0.6352941176470588
submitted_public_best,S4,0.6249253249350655,0.5743035918540645,0.5778933825390781,0.56,,,,
submitted_public_best,S4,,,,,0.0,0.6491064777445684,0.5902043037473729,0.6105263157894737
submitted_public_best,S4,,,,,1.0,0.5873598373170781,0.5913055067057076,0.5824175824175825
submitted_public_best,S4,,,,,2.0,0.645325600214477,0.5922004029420701,0.5340909090909091
submitted_public_best,S4,,,,,3.0,0.66480304959035,0.5773884315116816,0.5274725274725275
submitted_public_best,S4,,,,,4.0,0.5743035918540645,0.5355038758811784,0.5411764705882353
q2_big_probe,Q1,0.5851440884829077,0.6058074681215434,0.48775484770861544,0.4955555555555556,,,,
q2_big_probe,Q1,,,,,0.0,0.534331245242377,0.49128182136061493,0.45263157894736844
q2_big_probe,Q1,,,,,1.0,0.6258646571117673,0.47538667014389263,0.5164835164835165
q2_big_probe,Q1,,,,,2.0,0.5860838848374734,0.46292907879584927,0.4772727272727273
q2_big_probe,Q1,,,,,3.0,0.5772601216053069,0.5310558157741541,0.45054945054945056
q2_big_probe,Q1,,,,,4.0,0.6058074681215434,0.47639862690637125,0.5882352941176471
q2_big_probe,Q2,0.6889959323660222,0.6264679421854582,0.5615271947000146,0.5622222222222222,,,,
q2_big_probe,Q2,,,,,0.0,0.7166399844550487,0.5886261302332533,0.4631578947368421
q2_big_probe,Q2,,,,,1.0,0.6296711510727879,0.5360027760561855,0.5384615384615384
q2_big_probe,Q2,,,,,2.0,0.7797041769890432,0.5221653445305752,0.6704545454545454
q2_big_probe,Q2,,,,,3.0,0.6901489410226033,0.5995964457909949,0.4725274725274725
q2_big_probe,Q2,,,,,4.0,0.6264679421854582,0.558560891012511,0.6823529411764706
q2_big_probe,Q3,0.6645586295803524,0.6245181829038703,0.6141100469277899,0.6,,,,
q2_big_probe,Q3,,,,,0.0,0.6979150326840106,0.6221904058079194,0.5473684210526316
q2_big_probe,Q3,,,,,1.0,0.6781243936912577,0.5983220633808358,0.5934065934065934
q2_big_probe,Q3,,,,,2.0,0.7037203104312393,0.588976962762266,0.6022727272727273
q2_big_probe,Q3,,,,,3.0,0.6157000276428036,0.6276111825541731,0.6153846153846154
