source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor,test_abs_delta_mean,test_mean_delta,test_up_rate,test_down_rate,public_risk,rank_score,kept_for_target
residual_single_model_opt_ridge_logit_newton/ridge_residual_last,Q2,0.6987415814488945,0.6356930614589933,0.005861724824972048,-0.0023913078414080635,0.02087648803477797,-0.007792489278268182,0.436,0.564,0.010173668543476904,0.7012959320165768,False
target_weighted_single_model_lgbm_20260622/target_weighted_single_composite_last0.586688_full0.592353,Q2,0.6695023748487835,0.6043375263217081,-0.023377481775138986,-0.03374684297869324,0.06312284663237225,-0.006155030217340288,0.472,0.528,0.02902078400630154,0.781618372691136,False
target_weighted_single_model_lgbm_20260622/target_weighted_single_full_last0.587857_full0.591406,Q2,0.6695023748487835,0.6043375263217081,-0.023377481775138986,-0.03374684297869324,0.06312284663237225,-0.006155030217340288,0.472,0.528,0.02902078400630154,0.781618372691136,False
target_weighted_single_model_lgbm_20260622/target_weighted_single_last_last0.586345_full0.593006,Q2,0.6695023748487835,0.6043375263217081,-0.023377481775138986,-0.03374684297869324,0.06312284663237225,-0.006155030217340288,0.472,0.528,0.02902078400630154,0.781618372691136,False
residual_single_model_opt_hist_gb/hist_gb_residual_last,Q2,0.7593113446319409,0.6141515212187463,0.06643148800801846,-0.023932848081655078,0.07182131360953167,0.018886250104269885,0.652,0.348,0.030430966113862264,0.8401872763872075,False
public_aware_stack_blend_20260622/target_select_public_aggressive,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,True
public_aware_stack_blend_20260622/target_select_public_balanced,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
public_aware_stack_blend_20260622/target_select_public_tight,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
direction_gated_ablation_20260622/core_plus_q2q3,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
direction_gated_ablation_20260622/core_plus_q3,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
direction_gated_ablation_20260622/core_plus_s1_q2q3,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
direction_gated_ablation_20260622/core_plus_s1_q2tiny_q3,Q3,0.6654827078919677,0.6224188673133506,0.0028021617637670193,-0.012273140927402837,0.0009885936644600751,0.0009885936644600751,0.012,0.0,0.0002471484161150188,0.625632484551524,False
public_aware_stack_blend_20260622/target_select_public_aggressive_logit_anchorblend_w0p9,Q3,0.6650002993508408,0.6234475539264689,0.0023197532226401085,-0.011244454314284558,0.000899745667725983,0.0008997456677259639,0.012,0.0,0.0002249364169314948,0.6262340116450282,False
