split,target,fold,subject_id,rows,emission_power,transition_blend,p00,p11,before_mean,after_mean,source
oof,Q1,0,id09,9,0.5,0.3,0.6136363636363636,0.6271186440677966,0.38896768738382836,0.42783570565146867,seq_Q1_0p5_0p3
oof,Q1,0,id10,7,0.5,0.3,0.6136363636363636,0.6271186440677966,0.5007194466009841,0.5013214939877154,seq_Q1_0p5_0p3
oof,Q1,1,id01,8,0.5,0.3,0.6195652173913043,0.630057803468208,0.5384931070855642,0.4399683259771635,seq_Q1_0p5_0p3
oof,Q1,1,id02,10,0.5,0.3,0.6195652173913043,0.630057803468208,0.5967320905580747,0.5967362879250261,seq_Q1_0p5_0p3
oof,Q1,1,id03,7,0.5,0.3,0.6195652173913043,0.630057803468208,0.6039361347811463,0.6191113889266722,seq_Q1_0p5_0p3
oof,Q1,1,id04,11,0.5,0.3,0.6195652173913043,0.630057803468208,0.5664943570866403,0.5686151370352619,seq_Q1_0p5_0p3
oof,Q1,1,id05,9,0.5,0.3,0.6195652173913043,0.630057803468208,0.602721395882925,0.5110665182795636,seq_Q1_0p5_0p3
oof,Q1,1,id06,10,0.5,0.3,0.6195652173913043,0.630057803468208,0.3421052596537636,0.3749795714666147,seq_Q1_0p5_0p3
oof,Q1,1,id07,10,0.5,0.3,0.6195652173913043,0.630057803468208,0.5429138311229478,0.48509886827494864,seq_Q1_0p5_0p3
oof,Q1,1,id08,11,0.5,0.3,0.6195652173913043,0.630057803468208,0.43568284548160396,0.49762898154077645,seq_Q1_0p5_0p3
oof,Q1,1,id09,8,0.5,0.3,0.6195652173913043,0.630057803468208,0.4111619722418398,0.5000223466397085,seq_Q1_0p5_0p3
oof,Q1,1,id10,7,0.5,0.3,0.6195652173913043,0.630057803468208,0.3765408662626736,0.3796649037503838,seq_Q1_0p5_0p3
oof,Q1,2,id01,8,0.5,0.3,0.5934065934065934,0.6179775280898876,0.27312887322634244,0.3226760588875285,seq_Q1_0p5_0p3
oof,Q1,2,id02,9,0.5,0.3,0.5934065934065934,0.6179775280898876,0.4846848028679077,0.446071653527797,seq_Q1_0p5_0p3
oof,Q1,2,id03,6,0.5,0.3,0.5934065934065934,0.6179775280898876,0.8253749605561058,0.7580729380412938,seq_Q1_0p5_0p3
oof,Q1,2,id04,12,0.5,0.3,0.5934065934065934,0.6179775280898876,0.5300147974512049,0.47568085039977853,seq_Q1_0p5_0p3
oof,Q1,2,id05,9,0.5,0.3,0.5934065934065934,0.6179775280898876,0.518591233254995,0.5752426581588295,seq_Q1_0p5_0p3
oof,Q1,2,id06,9,0.5,0.3,0.5934065934065934,0.6179775280898876,0.26146065084102366,0.41175802343014906,seq_Q1_0p5_0p3
oof,Q1,2,id07,10,0.5,0.3,0.5934065934065934,0.6179775280898876,0.6049432834417064,0.5977643774929071,seq_Q1_0p5_0p3
oof,Q1,2,id08,11,0.5,0.3,0.5934065934065934,0.6179775280898876,0.27331028280008346,0.4151722975166146,seq_Q1_0p5_0p3
oof,Q1,2,id09,8,0.5,0.3,0.5934065934065934,0.6179775280898876,0.5135307837168388,0.5772527128970362,seq_Q1_0p5_0p3
oof,Q1,2,id10,6,0.5,0.3,0.5934065934065934,0.6179775280898876,0.5143083995982666,0.4309778964408289,seq_Q1_0p5_0p3
oof,Q1,3,id01,8,0.5,0.3,0.5955056179775281,0.6312849162011173,0.5960919496717141,0.48687345495804946,seq_Q1_0p5_0p3
oof,Q1,3,id02,10,0.5,0.3,0.5955056179775281,0.6312849162011173,0.567250695192935,0.6093419466790314,seq_Q1_0p5_0p3
