source,target,full_logloss,last_logloss,full_delta_vs_anchor,last_delta_vs_anchor
last10_sm4,S2,0.5863310445887095,0.6391045171481426,0.026210638899001326,0.01628919425270925
model_lgbm_anchor,S2,0.5638671251504929,0.6392566397751647,0.003746719460784642,0.01644131687973127
mean_sm4,S2,0.5810712980039732,0.6396198772238578,0.020950892314264946,0.016804554328424426
mean_sm8,S2,0.5798685607457231,0.6401512210157441,0.019748155056014904,0.017335898120310667
mean_sm16,S2,0.5822137621224761,0.6435300944362521,0.022093356432767886,0.02071477154081869
last2_sm2,S2,0.5980068791062417,0.6513770961903759,0.037886473416533506,0.028561773294942472
mean_sm32,S2,0.5905858613177088,0.651982566861838,0.030465455628000626,0.029167243966404577
last20_sm4,S2,0.5977309959097432,0.6538394361673087,0.03761059022003499,0.031024113271875264
last3_sm4,S2,0.5965553279647813,0.6540019472680699,0.036434922275073056,0.03118662437263653
ridge1,S2,0.5729170588481259,0.6560759945086192,0.012796653158417715,0.0332606716131858
last2_sm4,S2,0.6032360094760826,0.6611497827086543,0.04311560378637436,0.03833445981322092
ridge0.5,S2,0.5744311377412451,0.6648942744597727,0.014310732051536879,0.04207895156433927
mean_sm64,S2,0.60432220734411,0.6652849319353222,0.044201801654401796,0.042469609039888834
seq_S2_0p5_0p15,S2,0.6141375122957462,0.678273698006063,0.05401710660603798,0.055458375110629565
seq_S2_0p65_0p15,S2,0.6036719466438862,0.6792773125969751,0.043551540954178014,0.056461989701541704
seq_S2_0p5_0p3,S2,0.6108779122422946,0.6850753812160721,0.05075750655258637,0.062260058320638745
seq_S2_0p8_0p15,S2,0.5985097121755171,0.6854772319859165,0.03838930648580885,0.06266190909048308
seq_S2_0p65_0p3,S2,0.6027721760768743,0.6891926009213345,0.042651770387166055,0.0663772780259011
seq_S2_0p5_0p45,S2,0.6095823143821779,0.6948551442900789,0.04946190869246969,0.07203982139464549
seq_S2_0p8_0p3,S2,0.5999314656384171,0.6983203619421988,0.03981105994870893,0.07550503904676542
seq_S2_1_0p15,S2,0.5985088401165207,0.7003478911936984,0.0383884344268125,0.07753256829826505
seq_S2_0p65_0p45,S2,0.603926481543323,0.7021227430971887,0.043806075853614734,0.0793074202017553
seq_S2_0p5_0p6,S2,0.610447753098061,0.7079208992752015,0.05032734740835276,0.08510557637976812
seq_S2_0p8_0p45,S2,0.6034336598189207,0.7141410297597947,0.0433132541292125,0.09132570686436126
seq_S2_1_0p3,S2,0.6028398623534863,0.7167048169592153,0.04271945666377808,0.09388949406378189
seq_S2_0p65_0p6,S2,0.6073087319028554,0.7183513059945651,0.04718832621314717,0.0955359830991317
seq_S2_1p25_0p15,S2,0.6073341824701952,0.7271631409897437,0.04721377678048699,0.10434781809431026
